"","x"
"562",1500
"563",130
"564",1700
"565",1445
"566",1000
"567",1200
"568",1600
"569",1300
"570",1200
"571",250
"572",1900
"573",1000
"574",1300
"575",100
"576",2030
"577",2200
"578",1200
"579",2300
"580",2130
"581",2330
"582",1
"583",1800
"584",700
"585",1800
"586",1500
"587",1500
"588",1245
"589",1215
"590",1930
"591",1900
"592",400
"593",1530
"594",910
"595",330
"596",700
"597",1200
"598",1330
"599",220
"600",30
"601",1
"602",930
"603",1725
"604",1810
"605",1400
"606",300
"607",900
"608",445
"609",720
"610",900
"611",2350
"612",1830
"613",2300
"614",1400
"615",2300
"616",1657
"617",1500
"618",1600
"619",2200
"620",1200
"621",1400
"622",845
"623",1650
"624",2300
"625",2200
"626",1300
"627",1720
"628",2000
"629",925
"630",1159
"631",1740
"632",1700
"633",1
"634",2330
"635",2230
"636",645
"637",750
"638",1830
"639",1200
"640",1700
"641",2200
"642",1030
"643",1200
"644",2000
"645",1645
"646",2000
"647",2230
"648",1540
"649",200
"650",640
"651",2147
"652",800
"653",100
"654",1400
"655",1300
"656",1730
"657",300
"658",1400
"659",530
"660",1320
"661",2030
"662",100
"663",800
"664",1130
"665",1900
"666",230
"667",1245
"668",15
"669",1222
"670",1600
"671",1000
"672",1900
"673",1215
"674",1730
"675",1550
"676",1230
"677",1630
"678",1400
"679",1705
"680",1100
"681",2100
"682",1427
"683",1300
"684",1400
"685",1200
"686",1300
"687",800
"688",1200
"689",2225
"690",1850
"691",1615
"692",200
"693",600
"694",2055
"695",1500
"696",1600
"697",1030
"698",1200
"699",1647
"700",1600
"701",1700
"702",300
"703",1200
"704",1
"705",1
"706",1710
"707",1105
"708",200
"709",2300
"710",300
"711",2100
"712",200
"713",1955
"714",1500
"715",1215
"716",1255
"717",1215
"718",1140
"719",1500
"720",1
"721",2145
"722",1930
"723",915
"724",230
"725",430
"726",1
"727",2100
"728",200
"729",1200
"730",1200
"731",1230
"732",1300
"733",2030
"734",1500
"735",919
"736",1400
"737",500
"738",600
"739",1000
"740",2100
"741",1400
"742",1330
"743",100
"744",330
"745",2100
"746",1800
"747",1600
"748",1500
"749",1130
"750",1430
"751",1030
"752",2245
"753",2330
"754",1530
"755",2100
"756",1200
"757",2100
"758",1225
"759",521
"760",2200
"761",1200
"762",1030
"763",1635
"764",2125
"765",735
"766",2230
"767",1230
"768",1
"769",1100
"770",2300
"771",15
"772",1900
"773",1300
"774",1120
"775",600
"776",2340
"777",1800
"778",1510
"779",2300
"780",1400
"781",1200
"782",1800
"783",145
"784",915
"785",900
"786",1200
"787",100
"788",2000
"789",1350
"790",200
"791",1300
"792",2230
"793",1545
"794",1630
"795",1300
"796",1630
"797",1100
"798",700
"799",1530
"800",100
"801",1200
"802",1330
"803",1200
"804",2340
"805",1020
"806",330
"807",1500
"808",1700
"809",800
"810",2130
"811",1015
"812",1200
"813",210
"814",1800
"815",215
"816",200
"817",1200
"818",500
"819",600
"820",2300
"821",1625
"822",1
"823",1245
"824",2300
"825",1530
"826",1100
"827",730
"828",1430
"829",2010
"830",425
"831",730
"832",1700
"833",1311
"834",1000
"835",900
"836",1900
"837",100
"838",316
"839",900
"840",200
"841",1700
"842",115
"843",800
"844",1600
"845",1215
"846",1740
"847",900
"848",1
"849",500
"850",1600
"851",1100
"852",200
"853",2200
"854",1710
"855",1256
"856",1540
"857",2140
"858",1730
"859",1200
"860",1430
"861",200
"862",1300
"863",500
"864",2340
"865",400
"866",1030
"867",1200
"868",2330
"869",1310
"870",1230
"871",2200
"872",1055
"873",1330
"874",320
"875",900
"876",1300
"877",300
"878",1140
"879",1400
"880",200
"881",1000
"882",800
"883",1500
"884",1700
"885",1610
"886",1200
"887",1800
"888",1120
"889",1955
"890",2250
"891",300
"892",400
"893",1750
"894",1
"895",200
"896",800
"897",400
"898",2215
"899",615
"900",230
"901",1300
"902",2330
"903",100
"904",1355
"905",2120
"906",1500
"907",2100
"908",2300
"909",210
"910",200
"911",200
"912",1715
"913",330
"914",1200
"915",1530
"916",2230
"917",400
"918",130
"919",200
"920",1120
"921",1000
"922",1
"923",1500
"924",1330
"925",1040
"926",1945
"927",1200
"928",1800
"929",1830
"930",900
"931",1600
"932",1730
"933",1600
"934",2240
"935",1
"936",2140
"937",1730
"938",2300
"939",2300
"940",1000
"941",1200
"942",2200
"943",1200
"944",1744
"945",300
"946",1930
"947",1030
"948",1300
"949",700
"950",2000
"951",1
"952",300
"953",1500
"954",1
"955",750
"956",2300
"957",1
"958",1610
"959",1550
"960",1000
"961",1200
"962",1100
"963",1000
"964",915
"965",2330
"966",400
"967",2300
"968",1000
"969",1500
"970",900
"971",200
"972",1300
"973",1200
"974",1200
"975",1
"976",1600
"977",2000
"978",930
"979",2100
"980",1355
"981",1400
